 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element:  I,  Z =  53,  atomic weight = 1.26904E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.37703E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 53
 #
 # Total elastic cross section = 5.79767E-18 cm**2 = 2.07039E-01 a0**2
 # 1st transport cross section = 2.49278E-22 cm**2 = 8.90190E-06 a0**2
 # 2nd transport cross section = 6.89927E-22 cm**2 = 2.46377E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  5.750E-03  2.51785E-09  7.74309E-13  2.76511E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  7.73586E-13  2.76253E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  7.72833E-13  2.75984E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  7.72050E-13  2.75704E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  7.71237E-13  2.75414E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  7.70396E-13  2.75113E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  7.69525E-13  2.74802E+04  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  7.68625E-13  2.74481E+04  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  7.67696E-13  2.74149E+04  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  7.66739E-13  2.73807E+04  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  7.65753E-13  2.73455E+04  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  7.64739E-13  2.73093E+04  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  7.63696E-13  2.72721E+04  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  7.62625E-13  2.72338E+04  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  7.61527E-13  2.71946E+04  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  7.60401E-13  2.71544E+04  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  7.59248E-13  2.71132E+04  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  7.58067E-13  2.70711E+04  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  7.44807E-13  2.65975E+04  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  7.28962E-13  2.60317E+04  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  7.10973E-13  2.53893E+04  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  6.91117E-13  2.46802E+04  0.00000E+00  1.0E-05
  2.250E-02  3.85531E-08  6.69505E-13  2.39085E+04  0.00000E+00  1.0E-05
  2.500E-02  4.75965E-08  6.46460E-13  2.30855E+04  0.00000E+00  1.0E-05
  2.750E-02  5.75917E-08  6.22438E-13  2.22277E+04  0.00000E+00  1.0E-05
  3.000E-02  6.85389E-08  5.97756E-13  2.13463E+04  0.00000E+00  1.0E-05
  3.250E-02  8.04380E-08  5.72513E-13  2.04448E+04  0.00000E+00  1.0E-05
  3.500E-02  9.32891E-08  5.46867E-13  1.95290E+04  0.00000E+00  1.0E-05
  3.750E-02  1.07092E-07  5.21323E-13  1.86168E+04  0.00000E+00  1.0E-05
  4.000E-02  1.21847E-07  4.96089E-13  1.77157E+04  0.00000E+00  1.0E-05
  4.250E-02  1.37554E-07  4.71246E-13  1.68285E+04  0.00000E+00  1.0E-05
  4.500E-02  1.54213E-07  4.46712E-13  1.59524E+04  0.00000E+00  1.0E-05
  4.750E-02  1.71823E-07  4.22950E-13  1.51038E+04  0.00000E+00  1.0E-05
  5.000E-02  1.90386E-07  4.00048E-13  1.42860E+04  0.00000E+00  1.0E-05
  5.250E-02  2.09900E-07  3.78062E-13  1.35009E+04  0.00000E+00  1.0E-05
  5.500E-02  2.30367E-07  3.56742E-13  1.27395E+04  0.00000E+00  1.0E-05
  5.750E-02  2.51785E-07  3.36458E-13  1.20151E+04  0.00000E+00  1.0E-05
  6.000E-02  2.74156E-07  3.17212E-13  1.13278E+04  0.00000E+00  1.0E-05
  6.250E-02  2.97478E-07  2.98994E-13  1.06773E+04  0.00000E+00  1.0E-05
  6.500E-02  3.21752E-07  2.81620E-13  1.00568E+04  0.00000E+00  1.0E-05
  6.750E-02  3.46978E-07  2.65232E-13  9.47159E+03  0.00000E+00  1.0E-05
  7.000E-02  3.73156E-07  2.49830E-13  8.92158E+03  0.00000E+00  1.0E-05
  7.250E-02  4.00286E-07  2.35371E-13  8.40526E+03  0.00000E+00  1.0E-05
  7.500E-02  4.28368E-07  2.21732E-13  7.91820E+03  0.00000E+00  1.0E-05
  7.750E-02  4.57402E-07  2.08923E-13  7.46077E+03  0.00000E+00  1.0E-05
  8.000E-02  4.87388E-07  1.96947E-13  7.03310E+03  0.00000E+00  1.0E-05
  8.250E-02  5.18325E-07  1.85753E-13  6.63335E+03  0.00000E+00  1.0E-05
  8.500E-02  5.50215E-07  1.75259E-13  6.25860E+03  0.00000E+00  1.0E-05
  8.750E-02  5.83057E-07  1.65419E-13  5.90723E+03  0.00000E+00  1.0E-05
  9.000E-02  6.16850E-07  1.56239E-13  5.57938E+03  0.00000E+00  1.0E-05
  9.250E-02  6.51596E-07  1.47670E-13  5.27339E+03  0.00000E+00  1.0E-05
  9.500E-02  6.87293E-07  1.39659E-13  4.98732E+03  0.00000E+00  1.0E-05
  9.750E-02  7.23942E-07  1.32146E-13  4.71903E+03  0.00000E+00  1.0E-05
  1.000E-01  7.61543E-07  1.25135E-13  4.46864E+03  0.00000E+00  1.0E-05
  1.250E-01  1.18991E-06  7.54725E-14  2.69517E+03  0.00000E+00  1.0E-05
  1.500E-01  1.71347E-06  4.81530E-14  1.71957E+03  0.00000E+00  1.0E-05
  1.750E-01  2.33223E-06  3.26295E-14  1.16522E+03  0.00000E+00  1.0E-05
  2.000E-01  3.04617E-06  2.29535E-14  8.19685E+02  0.00000E+00  1.0E-05
  2.250E-01  3.85531E-06  1.64476E-14  5.87353E+02  0.00000E+00  1.0E-05
  2.500E-01  4.75964E-06  1.20115E-14  4.28938E+02  0.00000E+00  1.0E-05
  2.750E-01  5.75916E-06  8.95327E-15  3.19727E+02  0.00000E+00  1.0E-05
  3.000E-01  6.85388E-06  6.79236E-15  2.42560E+02  0.00000E+00  1.0E-05
  3.250E-01  8.04378E-06  5.23029E-15  1.86777E+02  0.00000E+00  1.0E-05
  3.500E-01  9.32888E-06  4.09032E-15  1.46068E+02  0.00000E+00  1.0E-05
  3.750E-01  1.07092E-05  3.25159E-15  1.16116E+02  0.00000E+00  1.0E-05
  4.000E-01  1.21846E-05  2.62324E-15  9.36775E+01  0.00000E+00  1.0E-05
  4.250E-01  1.37553E-05  2.14443E-15  7.65791E+01  0.00000E+00  1.0E-05
  4.500E-01  1.54212E-05  1.77311E-15  6.33189E+01  0.00000E+00  1.0E-05
  4.750E-01  1.71822E-05  1.48213E-15  5.29277E+01  0.00000E+00  1.0E-05
  5.000E-01  1.90385E-05  1.25041E-15  4.46530E+01  0.00000E+00  1.0E-05
  5.250E-01  2.09899E-05  1.06457E-15  3.80165E+01  0.00000E+00  1.0E-05
  5.500E-01  2.30365E-05  9.11936E-16  3.25658E+01  0.00000E+00  1.0E-05
  5.750E-01  2.51783E-05  7.86116E-16  2.80727E+01  0.00000E+00  1.0E-05
  6.000E-01  2.74153E-05  6.81443E-16  2.43348E+01  0.00000E+00  1.0E-05
  6.250E-01  2.97475E-05  5.93680E-16  2.12007E+01  0.00000E+00  1.0E-05
  6.500E-01  3.21749E-05  5.19271E-16  1.85435E+01  0.00000E+00  1.0E-05
  6.750E-01  3.46974E-05  4.55880E-16  1.62798E+01  0.00000E+00  1.0E-05
  7.000E-01  3.73152E-05  4.01778E-16  1.43478E+01  0.00000E+00  1.0E-05
  7.250E-01  4.00281E-05  3.55410E-16  1.26919E+01  0.00000E+00  1.0E-05
  7.500E-01  4.28362E-05  3.15337E-16  1.12609E+01  0.00000E+00  1.0E-05
  7.750E-01  4.57395E-05  2.80629E-16  1.00215E+01  0.00000E+00  1.0E-05
  8.000E-01  4.87380E-05  2.50505E-16  8.94571E+00  0.00000E+00  1.0E-05
  8.250E-01  5.18317E-05  2.24251E-16  8.00814E+00  0.00000E+00  1.0E-05
  8.500E-01  5.50205E-05  2.01245E-16  7.18661E+00  0.00000E+00  1.0E-05
  8.750E-01  5.83045E-05  1.81027E-16  6.46461E+00  0.00000E+00  1.0E-05
  9.000E-01  6.16838E-05  1.63258E-16  5.83004E+00  0.00000E+00  1.0E-05
  9.250E-01  6.51582E-05  1.47594E-16  5.27069E+00  0.00000E+00  1.0E-05
  9.500E-01  6.87277E-05  1.33741E-16  4.77597E+00  0.00000E+00  1.0E-05
  9.750E-01  7.23925E-05  1.21445E-16  4.33688E+00  0.00000E+00  1.0E-05
  1.000E+00  7.61524E-05  1.10531E-16  3.94715E+00  0.00000E+00  5.2E-06
  1.100E+00  9.21439E-05  7.74256E-17  2.76492E+00  0.00000E+00  3.9E-06
  1.200E+00  1.09658E-04  5.58777E-17  1.99543E+00  0.00000E+00  2.1E-06
  1.300E+00  1.28695E-04  4.13681E-17  1.47728E+00  0.00000E+00  4.2E-07
  1.400E+00  1.49255E-04  3.12923E-17  1.11747E+00  0.00000E+00  8.3E-07
  1.500E+00  1.71338E-04  2.41371E-17  8.61952E-01  0.00000E+00  1.5E-06
  1.600E+00  1.94942E-04  1.89289E-17  6.75963E-01  0.00000E+00  1.6E-06
  1.700E+00  2.20070E-04  1.50573E-17  5.37705E-01  0.00000E+00  1.3E-06
  1.800E+00  2.46720E-04  1.21251E-17  4.32997E-01  0.00000E+00  7.2E-07
  1.900E+00  2.74892E-04  9.87526E-18  3.52652E-01  0.00000E+00  1.2E-07
  2.000E+00  3.04586E-04  8.12489E-18  2.90145E-01  0.00000E+00  3.8E-07
  2.100E+00  3.35803E-04  6.74586E-18  2.40899E-01  0.00000E+00  6.7E-07
  2.200E+00  3.68542E-04  5.64487E-18  2.01582E-01  0.00000E+00  7.2E-07
  2.300E+00  4.02802E-04  4.75969E-18  1.69972E-01  0.00000E+00  5.9E-07
  2.400E+00  4.38585E-04  4.04136E-18  1.44320E-01  0.00000E+00  3.3E-07
  2.500E+00  4.75889E-04  3.45350E-18  1.23327E-01  0.00000E+00  1.0E-07
  2.600E+00  5.14715E-04  2.96794E-18  1.05987E-01  0.00000E+00  2.2E-07
  2.700E+00  5.55063E-04  2.56475E-18  9.15888E-02  0.00000E+00  3.7E-07
  2.800E+00  5.96931E-04  2.22776E-18  7.95547E-02  0.00000E+00  4.0E-07
  2.900E+00  6.40321E-04  1.94433E-18  6.94334E-02  0.00000E+00  3.2E-07
  3.000E+00  6.85233E-04  1.70443E-18  6.08663E-02  0.00000E+00  1.7E-07
  3.100E+00  7.31665E-04  1.50038E-18  5.35797E-02  0.00000E+00  1.0E-07
  3.200E+00  7.79618E-04  1.32602E-18  4.73531E-02  0.00000E+00  1.4E-07
  3.300E+00  8.29092E-04  1.17630E-18  4.20066E-02  0.00000E+00  2.3E-07
  3.400E+00  8.80086E-04  1.04713E-18  3.73938E-02  0.00000E+00  2.4E-07
  3.500E+00  9.32601E-04  9.35212E-19  3.33970E-02  0.00000E+00  1.9E-07
  3.600E+00  9.86636E-04  8.37896E-19  2.99218E-02  0.00000E+00  1.0E-07
  3.700E+00  1.04219E-03  7.52954E-19  2.68885E-02  0.00000E+00  1.0E-07
  3.800E+00  1.09927E-03  6.78531E-19  2.42308E-02  0.00000E+00  1.0E-07
  3.900E+00  1.15786E-03  6.13088E-19  2.18938E-02  0.00000E+00  1.5E-07
  4.000E+00  1.21797E-03  5.55380E-19  1.98330E-02  0.00000E+00  1.6E-07
  4.100E+00  1.27961E-03  5.04332E-19  1.80100E-02  0.00000E+00  1.3E-07
  4.200E+00  1.34276E-03  4.59040E-19  1.63926E-02  0.00000E+00  1.0E-07
  4.300E+00  1.40743E-03  4.18729E-19  1.49531E-02  0.00000E+00  1.0E-07
  4.400E+00  1.47362E-03  3.82768E-19  1.36689E-02  0.00000E+00  1.0E-07
  4.500E+00  1.54133E-03  3.50604E-19  1.25203E-02  0.00000E+00  1.1E-07
  4.600E+00  1.61056E-03  3.21766E-19  1.14905E-02  0.00000E+00  1.1E-07
  4.700E+00  1.68131E-03  2.95841E-19  1.05647E-02  0.00000E+00  1.0E-07
  4.800E+00  1.75357E-03  2.72488E-19  9.73072E-03  0.00000E+00  1.0E-07
  4.900E+00  1.82735E-03  2.51407E-19  8.97791E-03  0.00000E+00  1.0E-07
  5.000E+00  1.90265E-03  2.32337E-19  8.29691E-03  0.00000E+00  1.0E-07
  5.100E+00  1.97947E-03  2.15048E-19  7.67951E-03  0.00000E+00  1.0E-07
  5.200E+00  2.05780E-03  1.99346E-19  7.11878E-03  0.00000E+00  1.0E-07
  5.300E+00  2.13765E-03  1.85060E-19  6.60860E-03  0.00000E+00  1.0E-07
  5.400E+00  2.21902E-03  1.72038E-19  6.14358E-03  0.00000E+00  1.0E-07
  5.500E+00  2.30190E-03  1.60147E-19  5.71895E-03  0.00000E+00  1.0E-07
  5.600E+00  2.38630E-03  1.49271E-19  5.33055E-03  0.00000E+00  1.0E-07
  5.700E+00  2.47222E-03  1.39308E-19  4.97478E-03  0.00000E+00  1.0E-07
  5.800E+00  2.55965E-03  1.30168E-19  4.64838E-03  0.00000E+00  1.0E-07
  5.900E+00  2.64859E-03  1.21769E-19  4.34846E-03  0.00000E+00  1.0E-07
  6.000E+00  2.73905E-03  1.14040E-19  4.07246E-03  0.00000E+00  1.0E-07
