 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element:  C,  Z =   6,  atomic weight = 1.20107E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.45042E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  6
 #
 # Total elastic cross section = 2.44902E-19 cm**2 = 8.74560E-03 a0**2
 # 1st transport cross section = 3.25939E-24 cm**2 = 1.16395E-07 a0**2
 # 2nd transport cross section = 9.34414E-24 cm**2 = 3.33685E-07 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  5.750E-03  2.51785E-09  4.12503E-14  1.47308E+03  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  4.12154E-14  1.47183E+03  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  4.11789E-14  1.47053E+03  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  4.11411E-14  1.46917E+03  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  4.11019E-14  1.46777E+03  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  4.10611E-14  1.46632E+03  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  4.10189E-14  1.46481E+03  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  4.09754E-14  1.46326E+03  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  4.09305E-14  1.46166E+03  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  4.08841E-14  1.46000E+03  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  4.08364E-14  1.45829E+03  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  4.07874E-14  1.45654E+03  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  4.07367E-14  1.45474E+03  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  4.06849E-14  1.45288E+03  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  4.06317E-14  1.45098E+03  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  4.05771E-14  1.44903E+03  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  4.05211E-14  1.44703E+03  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  4.04638E-14  1.44499E+03  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  3.98193E-14  1.42197E+03  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  3.90512E-14  1.39454E+03  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  3.81703E-14  1.36309E+03  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  3.71885E-14  1.32802E+03  0.00000E+00  1.0E-05
  2.250E-02  3.85531E-08  3.61185E-14  1.28981E+03  0.00000E+00  1.0E-05
  2.500E-02  4.75965E-08  3.49736E-14  1.24893E+03  0.00000E+00  1.0E-05
  2.750E-02  5.75917E-08  3.37671E-14  1.20584E+03  0.00000E+00  1.0E-05
  3.000E-02  6.85389E-08  3.25122E-14  1.16103E+03  0.00000E+00  1.0E-05
  3.250E-02  8.04380E-08  3.12219E-14  1.11495E+03  0.00000E+00  1.0E-05
  3.500E-02  9.32891E-08  2.98680E-14  1.06660E+03  0.00000E+00  1.0E-05
  3.750E-02  1.07092E-07  2.84886E-14  1.01735E+03  0.00000E+00  1.0E-05
  4.000E-02  1.21847E-07  2.71767E-14  9.70497E+02  0.00000E+00  1.0E-05
  4.250E-02  1.37554E-07  2.59360E-14  9.26192E+02  0.00000E+00  1.0E-05
  4.500E-02  1.54213E-07  2.45587E-14  8.77009E+02  0.00000E+00  1.0E-05
  4.750E-02  1.71823E-07  2.32707E-14  8.31012E+02  0.00000E+00  1.0E-05
  5.000E-02  1.90386E-07  2.20716E-14  7.88193E+02  0.00000E+00  1.0E-05
  5.250E-02  2.09900E-07  2.08490E-14  7.44532E+02  0.00000E+00  1.0E-05
  5.500E-02  2.30367E-07  1.96464E-14  7.01585E+02  0.00000E+00  1.0E-05
  5.750E-02  2.51785E-07  1.85378E-14  6.61997E+02  0.00000E+00  1.0E-05
  6.000E-02  2.74156E-07  1.74890E-14  6.24545E+02  0.00000E+00  1.0E-05
  6.250E-02  2.97478E-07  1.64100E-14  5.86010E+02  0.00000E+00  1.0E-05
  6.500E-02  3.21752E-07  1.54211E-14  5.50697E+02  0.00000E+00  1.0E-05
  6.750E-02  3.46978E-07  1.45148E-14  5.18335E+02  0.00000E+00  1.0E-05
  7.000E-02  3.73156E-07  1.36007E-14  4.85690E+02  0.00000E+00  1.0E-05
  7.250E-02  4.00286E-07  1.27433E-14  4.55073E+02  0.00000E+00  1.0E-05
  7.500E-02  4.28368E-07  1.19596E-14  4.27085E+02  0.00000E+00  1.0E-05
  7.750E-02  4.57402E-07  1.12133E-14  4.00433E+02  0.00000E+00  1.0E-05
  8.000E-02  4.87388E-07  1.04862E-14  3.74469E+02  0.00000E+00  1.0E-05
  8.250E-02  5.18325E-07  9.82212E-15  3.50754E+02  0.00000E+00  1.0E-05
  8.500E-02  5.50215E-07  9.21496E-15  3.29072E+02  0.00000E+00  1.0E-05
  8.750E-02  5.83057E-07  8.60968E-15  3.07457E+02  0.00000E+00  1.0E-05
  9.000E-02  6.16850E-07  8.05571E-15  2.87675E+02  0.00000E+00  1.0E-05
  9.250E-02  6.51596E-07  7.54897E-15  2.69578E+02  0.00000E+00  1.0E-05
  9.500E-02  6.87293E-07  7.06495E-15  2.52294E+02  0.00000E+00  1.0E-05
  9.750E-02  7.23942E-07  6.60810E-15  2.35979E+02  0.00000E+00  1.0E-05
  1.000E-01  7.61543E-07  6.18968E-15  2.21038E+02  0.00000E+00  1.0E-05
  1.250E-01  1.18991E-06  3.25487E-15  1.16234E+02  0.00000E+00  1.0E-05
  1.500E-01  1.71347E-06  1.79099E-15  6.39575E+01  0.00000E+00  1.0E-05
  1.750E-01  2.33223E-06  1.04282E-15  3.72396E+01  0.00000E+00  1.0E-05
  2.000E-01  3.04617E-06  6.41480E-16  2.29077E+01  0.00000E+00  1.0E-05
  2.250E-01  3.85531E-06  4.15962E-16  1.48543E+01  0.00000E+00  1.0E-05
  2.500E-01  4.75964E-06  2.82460E-16  1.00868E+01  0.00000E+00  1.0E-05
  2.750E-01  5.75916E-06  1.99297E-16  7.11703E+00  0.00000E+00  1.0E-05
  3.000E-01  6.85388E-06  1.45321E-16  5.18952E+00  0.00000E+00  1.0E-05
  3.250E-01  8.04378E-06  1.08964E-16  3.89117E+00  0.00000E+00  1.0E-05
  3.500E-01  9.32888E-06  8.35666E-17  2.98422E+00  0.00000E+00  1.0E-05
  3.750E-01  1.07092E-05  6.53671E-17  2.33430E+00  0.00000E+00  1.0E-05
  4.000E-01  1.21846E-05  5.19648E-17  1.85570E+00  0.00000E+00  1.0E-05
  4.250E-01  1.37553E-05  4.18963E-17  1.49614E+00  0.00000E+00  1.0E-05
  4.500E-01  1.54212E-05  3.42007E-17  1.22133E+00  0.00000E+00  1.0E-05
  4.750E-01  1.71822E-05  2.82208E-17  1.00778E+00  0.00000E+00  1.0E-05
  5.000E-01  1.90385E-05  2.34684E-17  8.38072E-01  0.00000E+00  1.0E-05
  5.250E-01  2.09899E-05  1.97042E-17  7.03648E-01  0.00000E+00  1.0E-05
  5.500E-01  2.30365E-05  1.66753E-17  5.95486E-01  0.00000E+00  1.0E-05
  5.750E-01  2.51783E-05  1.42070E-17  5.07341E-01  0.00000E+00  1.0E-05
  6.000E-01  2.74153E-05  1.21721E-17  4.34672E-01  0.00000E+00  1.0E-05
  6.250E-01  2.97475E-05  1.04875E-17  3.74516E-01  0.00000E+00  1.0E-05
  6.500E-01  3.21749E-05  9.08258E-18  3.24345E-01  0.00000E+00  1.0E-05
  6.750E-01  3.46974E-05  7.90026E-18  2.82123E-01  0.00000E+00  1.0E-05
  7.000E-01  3.73152E-05  6.90175E-18  2.46466E-01  0.00000E+00  1.0E-05
  7.250E-01  4.00281E-05  6.05603E-18  2.16265E-01  0.00000E+00  1.0E-05
