 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.69620E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  8
 #
 # Total elastic cross section = 2.77957E-19 cm**2 = 9.92602E-03 a0**2
 # 1st transport cross section = 5.69685E-24 cm**2 = 2.03438E-07 a0**2
 # 2nd transport cross section = 1.63060E-23 cm**2 = 5.82300E-07 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  5.750E-03  2.51785E-09  2.66053E-14  9.50094E+02  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  2.65922E-14  9.49624E+02  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  2.65785E-14  9.49134E+02  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  2.65642E-14  9.48625E+02  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  2.65495E-14  9.48098E+02  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  2.65341E-14  9.47550E+02  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  2.65182E-14  9.46982E+02  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  2.65018E-14  9.46396E+02  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  2.64848E-14  9.45790E+02  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  2.64673E-14  9.45164E+02  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  2.64493E-14  9.44520E+02  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  2.64307E-14  9.43859E+02  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  2.64116E-14  9.43174E+02  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  2.63919E-14  9.42472E+02  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  2.63718E-14  9.41753E+02  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  2.63511E-14  9.41013E+02  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  2.63298E-14  9.40254E+02  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  2.63081E-14  9.39478E+02  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  2.60620E-14  9.30692E+02  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  2.57659E-14  9.20118E+02  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  2.54223E-14  9.07846E+02  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  2.50340E-14  8.93981E+02  0.00000E+00  1.0E-05
  2.250E-02  3.85531E-08  2.46044E-14  8.78639E+02  0.00000E+00  1.0E-05
  2.500E-02  4.75965E-08  2.41369E-14  8.61944E+02  0.00000E+00  1.0E-05
  2.750E-02  5.75917E-08  2.36351E-14  8.44024E+02  0.00000E+00  1.0E-05
  3.000E-02  6.85389E-08  2.31027E-14  8.25014E+02  0.00000E+00  1.0E-05
  3.250E-02  8.04380E-08  2.25437E-14  8.05051E+02  0.00000E+00  1.0E-05
  3.500E-02  9.32891E-08  2.19381E-14  7.83423E+02  0.00000E+00  1.0E-05
