 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Br,  Z =  35,  atomic weight = 7.99040E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.60865E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 35
 #
 # Total elastic cross section = 2.75914E-18 cm**2 = 9.85306E-02 a0**2
 # 1st transport cross section = 1.06040E-22 cm**2 = 3.78675E-06 a0**2
 # 2nd transport cross section = 2.98267E-22 cm**2 = 1.06513E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  5.750E-03  2.51785E-09  3.30368E-13  1.17976E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  3.30104E-13  1.17882E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  3.29830E-13  1.17784E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  3.29544E-13  1.17682E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  3.29248E-13  1.17577E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  3.28941E-13  1.17467E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  3.28623E-13  1.17354E+04  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  3.28295E-13  1.17236E+04  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  3.27956E-13  1.17115E+04  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  3.27606E-13  1.16990E+04  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  3.27246E-13  1.16862E+04  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  3.26876E-13  1.16729E+04  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  3.26495E-13  1.16593E+04  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  3.26103E-13  1.16454E+04  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  3.25702E-13  1.16310E+04  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  3.25290E-13  1.16163E+04  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  3.24868E-13  1.16012E+04  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  3.24435E-13  1.15858E+04  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  3.19570E-13  1.14120E+04  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  3.13724E-13  1.12033E+04  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  3.07054E-13  1.09651E+04  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  2.99651E-13  1.07007E+04  0.00000E+00  1.0E-05
  2.250E-02  3.85531E-08  2.91532E-13  1.04108E+04  0.00000E+00  1.0E-05
  2.500E-02  4.75965E-08  2.82804E-13  1.00991E+04  0.00000E+00  1.0E-05
  2.750E-02  5.75917E-08  2.73634E-13  9.77165E+03  0.00000E+00  1.0E-05
  3.000E-02  6.85389E-08  2.64136E-13  9.43248E+03  0.00000E+00  1.0E-05
  3.250E-02  8.04380E-08  2.54329E-13  9.08226E+03  0.00000E+00  1.0E-05
  3.500E-02  9.32891E-08  2.44257E-13  8.72259E+03  0.00000E+00  1.0E-05
  3.750E-02  1.07092E-07  2.34132E-13  8.36099E+03  0.00000E+00  1.0E-05
  4.000E-02  1.21847E-07  2.24034E-13  8.00038E+03  0.00000E+00  1.0E-05
  4.250E-02  1.37554E-07  2.13990E-13  7.64171E+03  0.00000E+00  1.0E-05
  4.500E-02  1.54213E-07  2.03947E-13  7.28307E+03  0.00000E+00  1.0E-05
  4.750E-02  1.71823E-07  1.94123E-13  6.93226E+03  0.00000E+00  1.0E-05
  5.000E-02  1.90386E-07  1.84561E-13  6.59080E+03  0.00000E+00  1.0E-05
  5.250E-02  2.09900E-07  1.75292E-13  6.25977E+03  0.00000E+00  1.0E-05
  5.500E-02  2.30367E-07  1.66185E-13  5.93457E+03  0.00000E+00  1.0E-05
  5.750E-02  2.51785E-07  1.57437E-13  5.62219E+03  0.00000E+00  1.0E-05
  6.000E-02  2.74156E-07  1.49060E-13  5.32303E+03  0.00000E+00  1.0E-05
  6.250E-02  2.97478E-07  1.41057E-13  5.03725E+03  0.00000E+00  1.0E-05
  6.500E-02  3.21752E-07  1.33337E-13  4.76155E+03  0.00000E+00  1.0E-05
  6.750E-02  3.46978E-07  1.25988E-13  4.49912E+03  0.00000E+00  1.0E-05
